Username,Handle,Timestamp,Text,Comments,Likes,Retweets
Marcel,@MaestusAnxiouus,2020-10-27T10:59:52.000Z,"Replying to 
@4_everfcb
 and 
@ZoltraxxdKickbase",1,,
prince,@princeofmykonos,2020-10-27T08:06:12.000Z,"@esmuellert_
 
Aus wem besteht die „exklusive“ Kickbase-Runde die du spielst ?",,,
百物語,@kickbase,2020-10-27T06:59:07.000Z,"Replying to 
@Y_O_2バンドソーもわかりませんｗ",,,
YO2,@Y_O_2,2020-10-27T05:24:57.000Z,"Replying to 
@kickbaseバンドソーみたいなものでしょうか…？",1,,
百物語,@kickbase,2020-10-27T02:55:39.000Z,"テレビもネットメディアも、大勢の目を通ってきたはずなのになぜこんな低レベルで致命的なことが最終出力されてしまうんだと思うことが多い。（昨今ではおっさんずラブドッキリが完全にアウトだった）

「ヤバイですよ」という声がもみ消されるのか上げられないのか。そもそも誰もそう思わないのか。",,,1
百物語,@kickbase,2020-10-27T02:51:02.000Z,"cakes炎上の問題、構造的な側面で語ったほうがいいと思う。

ネットリテラシーの高いイマドキの編集部がなぜこの回答を良しとしてしまったのか。公開にいたるまでに歯止めは効かなかったのか。内部批判が適切に評価される風土があったのか。

お詫び文からは見えてこない。",,,3
百物語,@kickbase,2020-10-27T01:47:05.000Z,"Replying to 
@middleHoudinistこれか！（錯乱",,,
Y_Houdinifanxxx_YosshyH_BOOTHはじめてみました,@middleHoudinist,2020-10-27T01:43:11.000Z,"Replying to 
@kickbase？？？
https://cinra.net/uploads/img/column/201804-mightythor_l_full.jpg…",1,,
百物語,@kickbase,2020-10-27T01:29:44.000Z,ここだけの話ですが「カットソー」がどんな服かわかりません。,2,1,1
百物語,@kickbase,2020-10-27T01:06:28.000Z,"「占い１位だったので信じます！」というツイートを見て朝からほっこり。

前向きでパワフルでポップ。これくらいのスタンスで生きていきたい。すばらしい。",,,2
百物語,@kickbase,2020-10-27T00:58:21.000Z,この側面はあるだろうな。,,,
Auswärtssieger,@swimmer1893,2020-10-26T21:44:15.000Z,"Warum hab ich Idiot Alario bei Kickbase nochmal verkauftQuote Tweet
Sky Sport
@SkySportDE
 · Oct 26
Weiter ungeschlagen: Leverkusen springt mit Doppeltorschütze Alario auf Platz 4!  
#skybuli #b04fca",,,
Doch keine Absteiger,@vincethebince,2020-10-26T19:47:59.000Z,Wieso spielt eigentlich vargas nicht? Frage aus kickbase gründen #B04FCA,1,,1
Maciej Iwanow,@Maciej_Iwanow,2020-10-26T18:48:24.000Z,"Thomas Müller na swoim instastory zwrócił się do Maxa Kruse mówiąc, że pochopnie pozbył się go ze swojego składu w Kickbase 
""Sprzedałem cię przed kolejką. Praktycznie podarowałem i to mnie bardzo złości. (...) Jak tylko znów będziesz dostępny na rynku to znowu cię złapię.""",,,4
百物語,@kickbase,2020-10-26T15:14:57.000Z,"Replying to 
@macneko_ayuあーこれですね。いい歌詞だー。",1,,
こうちゃん黒猫まみれ,@macneko_ayu,2020-10-26T15:14:01.000Z,"Replying to 
@kickbaseこれかなー
https://uta-net.com/song/3487/",1,,
