Username,Handle,Timestamp,Text,Comments,Likes,Retweets
Tom Solid,@paperlessmove,2020-10-11T14:31:45.000Z,"Still using paper notebooks in 2020? Here is why I think you should go #paperless NOW! #paperlessmovement #pplmvm #digitalplanner #notetakingHow To Go Digital: Upgrade Your Paper Planner - PaperlessMovement
If you’re navigating a busy life, (and who isn’t these days?) you need some kind of a system to plan and organize your tasks and events.Traditionally, paper planners have been the tool of choice when...
paperlessmovement.com",,,2
Mark Cassell,@Mark_Cassell,2020-10-11T09:00:04.000Z,"A notebook that is ""Not Just a Notebook"" - Contains quirky prompts to jog the Muse who isn't playing fair.  #writingcommunity #writers #author #writerslife #amwriting #writing #notetaking
Get it here:Not Just a Notebook: for writers on location (skull design)
Not Just a Notebook: for writers on location (skull design)
amazon.com",,1,1
Tim King,@hellotimking,2020-10-10T23:44:58.000Z,"Bear – A Three Year Journey 

A story of #note taking, enabling tech, and me

Note taking is an incredibly personal thing. Some | Read More... https://hellotimking.com/2020/05/bear-a-three-year-journey/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost… #bearapp #digitalwriting #journal #journalling #notetaking #notetaking #onlinepublishing #wikiBear – A Three Year Journey | hellotimking
Note taking is an incredibly personal thing. Some like paper, others record their voice, and then there are those brave souls who wade into the hundreds of applications available that strive to be...
hellotimking.com",,,
Large Tutoring,@LargeTutoring,2020-10-08T20:47:43.000Z,"We love a bit of artistic note taking! When notes are aesthetically pleasing, they are easier to go over. Note taking is more than just writing things down on paper. They are also a great way to individualize learning to fit your needs! 

#notes #notetaking #study #student #tutor",,,
Stephanie Jones,@Mrs_SJones3,2020-10-08T19:02:33.000Z,"These Ss are awesome note-takers.  It’s amazing how when you just try something in a different way, it can spark new interest in the same skill that needs to be practiced more than once. 
@FESTigersHSE
 #FESTigers #sketchnoting #notetaking",1,1,8
3Mindmapper,@3Mindmapper,2020-10-08T18:54:34.000Z,"Using #Flexcil to learn 4 #music instrument together, little #notetaking at a time",,1,3
Miss McCallum,@Deanburn_MissM,2020-10-08T16:50:41.000Z,Today we wrote biographies on Usain Bolt. We took notes on a video and highlighted key facts from a piece of text to help us write it. #writing #biographies #UsainBolt #notetaking,2,1,4
TranslationTalk/Francisco,@translationtalk,2020-10-08T14:38:58.000Z,"In case you didn't know it, here is a website created by a fellow colleague where you can find a myriad of symbols for your note-taking. If you have a consecutive interpreting assignment coming up, I recommend you to take a look: http://xl8.link/2cq
#1nt #symbols #notetaking",1,2,22
Brittany Ross,@brittanyrossss,2020-10-08T14:19:53.000Z,Any good iPad note-taking apps anyone can recommend? Specifically with handwriting notes? Any applications looking for consumer testers? #ipad #apps #notes #notetaking #handwriting #handwritten,1,,
Eminence Classes,@ClassesEminence,2020-10-08T13:35:10.000Z,"How Many Triangles are there ??
#Classes #onlinelearning #onlineclasses
#classesinsakinaka #sakinakaclass #eminence #eminenceclasses #Mumbaiclass #stationery #studystudystudy #studyblog #time #notetaking #love #studystudy #studymood #studygramcommunity #science #aesthetic",,,1
Hub Resource,@hub_resource,2020-10-08T10:30:45.000Z,"How to take efficient and neat notes - 10 note taking tips | studytee https://youtu.be/m5cQ5bWLi2A via 
@YouTube
 #HowToTakeNotes  #NoteTakingHow to take efficient and neat notes - 10 note taking tips | studytee
PLEASE READ: As you'll see at about 01:40, my handwriting has changed. Before commenting/complaining about that, please read my little explanation further do...
youtube.com",,1,
Verdict Vindict,@VVindict,2020-10-08T05:26:04.000Z,"Passing time 

#notetaking #sketch #naked #messyThe following media includes potentially sensitive content. Change settings
View",,,
Roger Dupuy,@rogerdupuy,2020-10-07T18:53:33.000Z,"A sample of “dirty” note taking...about...NoTeTaKiNg! #notestagram #notetaking #lessonplans @ Irvine, California https://instagram.com/p/CGDZZi0sD0UOPbutkYFHAh2D_4prSVXfQSHoec0/?igshid=1e9rybtfq2u3s…",,1,
JoAnne Gramith,@JGramith,2020-10-07T15:19:02.000Z,"25 FREE Google Drawings graphic organizers — and how to make your own: https://ditchthattextbook.com/15-free-google-drawings-graphic-organizers-and-how-to-make-your-own/… via 
@jmattmiller
 
#AVID #WICOR #DigitalLearning #NUAStrategies
#GraphicOrganizer #NoteTaking #ThinkingMap25 FREE Google Drawings graphic organizers — and how to make your own - Ditch That Textbook
Using Google Drawings to create graphic organizers can help students gather their thoughts and customize to their needs. Here are 25 templates to get you started.
ditchthattextbook.com",,5,6
Metapsych,@metapsych_sa,2020-10-07T11:58:05.000Z,Using colour mindfully in #VisualNotes #NoteTaking #AcademicCoaching https://instagram.com/p/CGCp2bWJpgg/?igshid=sm2zpv1nojcw…,,,
B,@merriman_xyz,2020-10-07T06:43:42.000Z,"Working on a nested table style #notetaking app 
#progressGIF",1,,1
iQoods Inc.,@iqoods,2020-10-06T00:07:01.000Z,"Let #Ratte #Supernote be one of your daily essentials 
#Ereader
#Digital #Notetaking
#Journaling
-
Visit iQoods website to learn more (Link in Bio
)
#sustainability #sketching #digitaldrawing #digitaljournal https://instagram.com/p/CF-zrmYnaS_/?igshid=1p384063pxvc6…",,,
Michael Puhala,@puhala,2020-10-05T23:28:02.000Z,"reMarkable 2 has arrived! Pre-ordered this in March. For those keeping score, I'm in ""batch 2"" #reMarkable #e-ink #notetaking",1,4,6
"Ed Benjamin, Writer",@colbenjamin,2020-10-05T16:48:32.000Z,"LARGE COLLEGE RULED NOTEBOOK: Blank Line College Ruled Notebook and Journal 8.5' x 11   Ideal for #students, #notetaking, #journal, #diary. From Bulverde Books (
@BulverdeB
).LARGE COLLEGE RULED NOTEBOOK: Blank Line College Ruled Notebook and Journal 8.5' x 11""
LARGE COLLEGE RULED NOTEBOOK: Blank Line College Ruled Notebook and Journal 8.5' x 11""
amazon.com",,,
"Ed Benjamin, Writer",@colbenjamin,2020-10-05T16:48:11.000Z,"LARGE COLLEGE RULED NOTEBOOK: Blank Line College Ruled Notebook and Journal 8.5' x 11 from Bulverde Books (
@BulverdeB
) Ideal for #students, #notetaking, #journal, #diaryLARGE COLLEGE RULED NOTEBOOK: Blank Line College Ruled Notebook and Journal 8.5' x 11""
LARGE COLLEGE RULED NOTEBOOK: Blank Line College Ruled Notebook and Journal 8.5' x 11""
amazon.com",,,
Tom D'Amico,@TDOttawa,2020-10-05T14:00:24.000Z,5 Good Tools for Visual Note Taking via Educators' technology http://sco.lt/5zLYiO #ocsb #edtools #notes #noteTaking,,2,1
Agile Center,@Agile__Center,2020-10-05T13:59:23.000Z,"Efficient Note Taking: The Best Note Taking Methods for Studying Agile!
Struggling with retaining your Agile curriculum? Maybe it's your note taking. Ace your tests and career path with this guide to the best note taking methods https://zcu.io/prFJ
#agile #notetaking",,,1
Haris Khan,@kinginkings20,2020-10-05T08:35:27.000Z,Another video up all about the Bear app! Hopefully I can share with you guys what a great #notetaking app this is and how I use it everyday!,1,,
QUB MDBS elearn,@MDBSelearn,2020-10-05T07:30:00.000Z,"Good morning! Welcome to Monday where we have another DigiKnow Blog. This week, we look at OneNote and give students a demo:

https://blogs.qub.ac.uk/digiknow/?p=2549…

#OneNote #microsoft #notetaking #digitalnotebook #studentlearning #digitalskills",,2,1
Tim King,@hellotimking,2020-10-05T03:41:19.000Z,"Bear – A Three Year Journey 

A story of #note taking, enabling tech, and me

Note taking is an incredibly personal thing. Some | Read More... https://hellotimking.com/2020/05/bear-a-three-year-journey/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost… #bearapp #digitalwriting #journal #journalling #notetaking #notetaking #onlinepublishing #wikiBear – A Three Year Journey | hellotimking
Note taking is an incredibly personal thing. Some like paper, others record their voice, and then there are those brave souls who wade into the hundreds of applications available that strive to be...
hellotimking.com",,,
